col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,Category
BP435,Cheese roti STICKER,500,,5,0,0,FF625,Poori,10,24,,38.5,0,0,,Frozen Food
BP436,Garam Chocolate  STICKER,1000,,3,0,0,DF374,Mango Chutney (10kg) ,50,10,,49.38,0,0,,Frozen Food
BP437,Bombay Sandwich Sticker,500,,5,0,0,FF663,Macon Halal (6x200x15pcs),90,6,,22.49,0,0,,Frozen Food
BP438,Chaii latte  STICKER,1000,,3,0,0,FF712,Baguettes (40 per box),1,40,,15,0,0,,Frozen Food
BP439,Roti STICKER,500,,5,0,0,FF641,Halwa,25,8,,23.9,0,0,,Frozen Food
BP450,Checklist STICKER,1000,,6,0,0,FPBC112,Channa,1,20,,70.05,0,0,,Frozen Food
BP457,Lotus STICKER,500,,5,0,0,FF696,Tomato Sauce (12kg),80,20,,53.5,0,0,,Frozen Food
BP452,Kebab Roll STICKER,500,,5,0,0,FF698,Rice Basmati (8kg),6,8,,16.37,0,0,,Frozen Food
BP453,Sugar Wali Roti STICKER,500,,5,0,0,FF708,Diced Frozen Strawberry 10kg,,4,,19.37,0,0,,Frozen Food
BP454,Paratha STICKER,500,,5,0,0,FF699,Bombay Sandwiches (15 per case),30,1,,37.74,0,0,,Frozen Food
BP458,Bun Omelette STICKER,500,,5,0,0,FF667,Kheema Mix 500g,20,20,,158.67,0,0,,Frozen Food
BP464,Veg Kebab Roll STICKER,500,,5,0,0,FF648,Pasty Chicken Sausage Roll (90g),60,1,,34.32,0,0,,Frozen Food
BP465,Chilli Chip Butty STICKER,500,,5,0,0,FF649,Chicken Tikka Pasties (150g),30,1,,16.05,0,0,,Frozen Food
BP469,Pink Chaii STICKER,1000,,3,0,0,FF650,Cheese & Jalapeno Pasties (150g),30,1,,16.05,0,0,,Frozen Food
