Item Code,Item Code,Product,Order Quantity (Box),Price (box),Order Value,Order Value,Weight (Kg),Weight (Kg)
DP222,FPFC216,Bombay Mix (40x50g),,5,0,0,0,0
DP223,FPFC218,Tandoori Peanuts (40x50g),,5,0,0,0,0
DP224,FPFC215,Chilli Lemon Corn Nuts (40x50g),,5,0,0,0,0
DP225,DF473,Madeira Loaf Cake (24),,5,0,0,0,0
DP226,DF472,Blueberry Muffin (20),,5,0,0,0,0
DP227,DF471,Belgian choclate Muffin (20),,5,0,0,0,0
DP228,FPFC235,Zesty Fruit Granola Bar (24),,5,0,0,0,0
DP244,FPFC232,Belgian Caramel Shortbread (24),,4.2,0,0,0,0
DP250,DF448,Chocolate Krispy (24),,5,0,0,0,0
DP251,FPFC223,Parle-G (144 per box),,5,0,0,0,0
DP252,FPFC229,Omelette Mix ,,5,0,0,0,0
DP253,DF430,Gunpowder Spice Mix (5x1kg),,5,0,0,0,0
DP254,DF433,Chaat Masala (10x500g) ,,5,0,0,0,0
DP255,FPG307,Falooda mix Rose (20 per pack),,5,0,0,0,0
DP256,FPG308,Falooda mix Mango (20 per pack),,5,0,0,0,0
DP235,FPG314,White Sugar Sachets (1000 per box),,19.76,0,0,0,0
DP236,FPG315,Brown Sugar Sachets (1000 per box),,21.5,0,0,0,0
PP503,FPG316,Salt Sachets (2000 per box),,36,0,0,0,0
PP504,FPG317,Pepper Sachets (2000 per box),,27.87,0,0,0,0
PP539,FPG302,Yogurt and Mint Sauce,,30.25,0,0,0,0
PP538,FPG311,Burger Relish,,30.25,0,0,0,0
PP537,DF381,Tamarind Sauce,,30.25,0,0,0,0
PP509,DF452,Onion Chutney,,17.15,0,0,0,0
PP511,DF459,Chick Peas,,28.52,0,0,0,0
PP512,DF477,Poppadom Pellets (13kg),,28.52,0,0,0,0
PP514,DF478,Crispy Fried Onions (12X300G),,13.81,0,0,0,0
PP515,DF431,Sofra Cheese,,5.79,0,0,0,0
PP516,FPBC108,Masala Sauce for Chips/Sandwiches,,55,0,0,0,0
PP518,DF388,Naan,,42,0,0,0,0
PP520,DF429,Paani,,10,0,0,0,0
,DF428,Puri,0,,0,0,0,0
Drinks,DF395,Chaiiwala Honey,,,,0,,0
Item Code,DF423,Honey Tubs (1.36kg),Order,Price,Order Value,0,Weight (Kg),0
FPG359,,,,17.99,0,0,0,0
FPG362,Misc,,,17.99,0,,0,
FPG347,Item Code,Product,,25,0,Order Value,0,Weight (Kg)
FPG349,Other027,Small Urn (25 cup),,25,0,0,0,0
FPG351,Other028,Medium Urn (50 cup),,25,0,0,0,0
FPG352,Other029,Large Urn (100 cup),,17.49,0,0,0,0
FPG353,Other030,Extra Large Urn (200 cup),,10.69,0,0,0,0
FPG354,Other015,Faucet Kit (Tap for Urn),,10.69,0,0,0,0
FPG355,Other016,Spout Kit (Screw for Urn),,10.99,0,0,0,0
FPG356,SE888,Urn Vent Caps,,10.99,0,0,0,0
FPG357,SE900,Urn Clip,,4.49,0,0,0,0
FPG358,Other017,Small Urn Gasket (Rubber),,4.49,0,0,0,0
,Other018,Medium/Large Urn Gasket (Rubber),0,,0,0,0,0
,Other019,Extra Large Urn Gasket (Rubber),,,,0,,0
Total Order Value:,SE898,Coffee Machine Cleaner,,,,0,,0
,BP441,Safet and Cleaning LOG,,,,0,,0
Total Order Weight:,BP471,Crib Sheets,,,,0,,0
,SE896,Roband Grill Sheets (10 per box),,,,0,,0
Total Number of Boxes:,SE897,Till Rolls (80x76),,,,0,,0
,BP414,Large Thali,,,,0,,0
,BP418,Small Thali,,,,0,,0
,BP415,Steel bowls,,,,0,,0
,SE895,Steel Jugs (12 per pack),,,,0,,0
,SE883,Large Milk Pans,,,,0,,0
,SE901,Omelette Pan,,,,0,,0
,Other008,5ltr Napoli containers,,,,0,,0
,Other037,Monin 70cl Pump,,,,0,,0
,Other037,Monin 1ltr Pump,,,,0,,0
,SE887,Chaiiwala Pumps,,,,0,,0
,Other009,3000ml Jugs for eggs and faloodas,,,,0,,0
,NHSPP8,Sanatiser,,,,0,,0
,PP524,Black Baskets,,,,0,,0
,,,,,,0,,0
